Issue key,Issue id,Issue Type,Status,Assignee,Summary,Custom field (Story Points),Inward issue link (Agile Hive Dependency Link),Inward issue link (Agile Hive Dependency Link),Inward issue link (Agile Hive Dependency Link),Inward issue link (Agile Hive Dependency Link),Inward issue link (Agile Hive Dependency Link),Outward issue link (Agile Hive Dependency Link),Outward issue link (Agile Hive Dependency Link),Outward issue link (Agile Hive Dependency Link),Outward issue link (Agile Hive Link),Outward issue link (Agile Hive Objective Link),Inward issue link (Cloners),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Tests)
RUIT-171,95597,Story,Done,sslobodenyuk,Переработать функционал конвертации xer из классов-команд в класс TreeFromXerConstructor для объектов RRULink - Часть 2,3.0,RUIT-25,FWKT-429,FWKT-415,RUIT-121,,RUIT-58,RUIT-9,RUIT-163,LTEA-195,RUIT-222,,,,,,,,,
RUIT-290,108459,Story,Done,nrashchukin,Реализовать публичный интерфейс класса CmdPerformer в соответствии с обновленным дизайном,2.0,RUIT-287,,,,,RUIT-205,,,LTEA-195,,,,,,,,,,
RUIT-317,120704,Story,Done,sklochkov,Поиск способа генерации pdf из markdown без потери форматирования текста,3.0,,,,,,,,,LTEA-1163,,,,,,,,,,
RUIT-205,98227,Spike,Done,sslobodenyuk,Переработать дизайн CmdPerformer для возможности одновременной отправки и обработки нескольких запросов за раз,5.0,RUIT-206,RUIT-290,,,,RUIT-249,,,LTEA-195,RUIT-222,,,,,,,,,
RUIT-163,95727,Story,Done,kbychkov,Переработать функционал конвертации xer из классов-команд в класс TreeFromXerConstructor для объектов RRULink - Часть 1,3.0,RUIT-25,FWKT-429,FWKT-415,RUIT-121,RUIT-171,RUIT-58,RUIT-9,,LTEA-195,RUIT-222,,,,,,,,,
RUIT-116,92449,Story,Done,apolyakov,"Переделать возвращаемые результаты разработанных ранее функций TreeFromXerConstructor так, чтобы функции возвращали struct Outcome",5.0,RUIT-25,FWKT-429,RUIT-121,,,RUIT-58,RUIT-9,RUIT-175,LTEA-195,RUIT-222,FWKT-415,,,,,,,,
RUIT-306,113323,Maintenance,Done,i.sharonov,Ревью кода Service Manager по задаче добавления в PM-task(DU-ppc) обработки ping-pong,2.0,,,,,,,,,LTEA-467,,,,,,,,,,
RUIT-305,113074,Administrative task,Done,kevseev,Онбординг,,,,,,,,,,,,,,,,,,,,
RUIT-50,87664,Administrative task,Done,sklochkov,Онбординг,,,,,,,,,,,,,,,,,,,,
RUIT-204,98050,Maintenance,Done,sslobodenyuk,Поддержать отладку проблемы калибровки RET в Омске,3.0,,,,,,,,,LTEA-865,RUIT-222,,,,,,,,,
RUIT-298,109589,Administrative task,Done,sslobodenyuk,"Координация команды, синки, онбординг",,,,,,,,,,,,,,,,,,,,
RUIT-253,102778,Story,Done,e.konyukhova,Настроить CU для стенда RUI,5.0,,,,,,,,,LTEA-195,,,,,,,,,,
RUIT-284,108419,Administrative task,Done,sslobodenyuk,"Координация команды, синки",,,,,,,,,,,,,,,,,,,,
